name,line
Geralt, You know I don't find that amusing.
Yennefer," It wasn't meant to amuse, but to prod you to hurry. It's midday"
Geralt, Pfff...
Yennefer," You promised Ciri you'd train with her. Go, before Vesemir bores her"
Geralt," So...later, then?"
Yennefer, Mhm. See you later.
Geralt," See, I thought Ciri could stand to wait a little longer."
Yennefer, It's uninstructive. Not to mention unreasonable.
Geralt, I missed you. A lot.
Yennefer, And I missed you. But we have plenty of time to make up for that.
Geralt, I don't want to be reasonable.
Yennefer, Aha! So that's the way the wind blows...
Geralt," Ahh, yeah. Better go see Ciri."
Yennefer, Go and train with her. Then come back. It'll give me a chance to put
Geralt," Of all the women I've known, you're the only one who does that"
Yennefer, You've known many?
Geralt, What's it matter? Only ever thought of you...
Yennefer, Mhm. Undergarments.
Yennefer, Gold clashes with my complexion. You should know that.
Yennefer, I know. You might bring me some more once you're done training.
Yennefer," Geralt, stop fingering my toiletries."
Geralt," Old witcher's fast asleep... Ciri's disappeared somewhere, of course."
Geralt, Guess she prefers practice to theory...
Vesemir, Hm? What?
Geralt," Time to wake up, master. These lessons so boring they put you to sleep,"
Vesemir," Dammit... Had her taking notes on ""Ghouls and Alghouls""... Wanted to"
Geralt, Huh. Making her slog through that brick? No wonder she took off.
Vesemir," John of Brugge lacks flair, true, bue he's reliable. Not like the"
Geralt, Don't get mad at her.
Vesemir, Why the hell not? The whippersnapper refuses to do as she's told.
Geralt, You like that about her.
Geralt, Gotta admit we've spoiled her.
Vesemir," ""We've"" spoiled her? I've been saying from the start -- Ciri needs a"
Geralt," Been saying that, true. But you let her walk over you just like the"
Vesemir," Hm. Fine, I suppose I'm partly to blame. But this has to end. Now."
Geralt, Wrong.
Geralt, Now I see why you were so eager to practice. Strike!
Ciri, Ha!
Geralt, You're not in the circus. Pirouette! Wrong. Footwork! Enough. Get down.
Ciri, With a flip?
Geralt, What do you think?
Geralt," All right, take off the blindfold. You've got work to do. Your reflexes"
Ciri, Maybe for a witcher.
Geralt, Think drowners or strigas will go easy on you because you haven't
Ciri," Well, yes, but...that book was horribly dull!"
Geralt, I know. And you know it's no excuse.
Ciri, Ugh. I'm sorry. It won't happen again.
